Bulbasaur 1 	Fushigidane
Ivysaur 2 	Fushigisou
Venusaur 3 	Fushigibana
Charmander 4 	Hitokage
Charmeleon 5 	Lizardo
Charizard 6 	Lizardon
Squirtle 7 	Zenigame
Wartortle 8 	Kameil
Blastoise 9 	Kamex
Caterpie 10 	Caterpie
Metapod 11 	Transel
Butterfree 12 	Butterfree
Weedle 13 	Beedle
Kakuna 14 	Cocoon
Beedrill 15 	Spear
Pidgey 16 	Poppo
Pidgeotto 17 	Pigeon
Pidgeot 18 	Pigeot
Rattata 19 	Koratta
Raticate 20 	Ratta
Spearow 21 	Onisuzume
Fearow 22 	Onidrill
Ekans 23 	Arbo
Arbok 24 	Arbok
Pikachu 25 	Pikachu
Raichu 26 	Raichu
Sandshrew 27 	Sand
Sandslash 28 	Sandpan
Nidoran_male 29 	Nidoran
Nidorina 30 	Nidorina
Nidoqueen 31 	Nidoqueen
Nidoran_female 32 	Nidoran
Nidorino 33 	Nidorino
Nidoking 34 	Nidoking
Clefairy 35 	Pippi
Clefable 36 	Pixy
Vulpix 37 	Rokon
Ninetales 38 	Kyukon
Jigglypuff 39 	Purin
Wigglytuff 40 	Pukurin
Zubat 41 	Zubat
Golbat 42 	Golbat
Oddish 43 	Nazonokusa
Gloom 44 	Kusaihana
Vileplume 45 	Ruffresia
Paras 46 	Paras
Parasect 47 	Parasect
Venonat 48 	Kongpang
Venomoth 49 	Morphon
Diglett 50 	Digda
Dugtrio 51 	Dugtrio
Meowth 52 	Nyarth
Persian 53 	Persian
Psyduck 54 	Koduck
Golduck 55 	Golduck
Mankey 56 	Mankey
Primeape 57 	Okorizaru
Growlithe 58 	Gardie
Arcanine 59 	Windie
Poliwag 60 	Nyoromo
Poliwhirl 61 	Nyorozo
Poliwrath 62 	Nyorobon
Abra 63 	Casey
Kadabra 64 	Yungerer
Alakazam 65 	Foodin
Machop 66 	Wanriky
Machoke 67 	Goriky
Machamp 68 	Kairiky
Bellsprout 69 	Madatsubomi
Weepinbell 70 	Utsudon
Victreebel 71 	Utsubot
Tentacool 72 	Menokurage
Tentacruel 73 	Dokukurage
Geodude 74 	Ishitsubute
Graveler 75 	Golone
Golem 76 	Golonya
Ponyta 77 	Ponyta
Rapidash 78 	Gallop
Slowpoke 79 	Yadon
Slowbro 80 	Yadoran
Magnemite 81 	Coil
Magneton 82 	Rarecoil
Farfetch'd 83 	Kamonegi
Doduo 84 	Dodo
Dodrio 85 	Dodrio
Seel 86 	Pawou
Dewgong 87 	Jugon
Grimer 88 	Betbeter
Muk 89 	Betbeton
Shellder 90 	Shellder
Cloyster 91 	Parshen
Gastly 92 	Ghos
Haunter 93 	Ghost
Gengar 94 	Gangar
Onix 95 	Iwark
Drowzee 96 	Sleep
Hypno 97 	Sleeper
Krabby 98 	Crab
Kingler 99 	Kingler
Voltorb 100 	Biriridama
Electrode 101 	Marumine
Exeggcute 102 	Tamatama
Exeggutor 103 	Nassy
Cubone 104 	Karakara
Marowak 105 	Garagara
Hitmonlee 106 	Sawamular
Hitmonchan 107 	Ebiwalar
Lickitung 108 	Beroringa
Koffing 109 	Dogars
Weezing 110 	Matadogas
Rhyhorn 111 	Sihorn
Rhydon 112 	Sidon
Chansey 113 	Lucky
Tangela 114 	Monjara
Kangaskhan 115 	Garura
Horsea 116 	Tattu
Seadra 117 	Seadra
Goldeen 118 	Tosakinto
Seaking 119 	Azumao
Staryu 120 	Hitodeman
Starmie 121 	Starmie
Mr. Mime 122 	Barrierd
Scyther 123 	Strike
Jynx 124 	Rougela
Electabuzz 125 	Eleboo
Magmar 126 	Boober
Pinsir 127 	Kailios
Tauros 128 	Kentauros
Magikarp 129 	Koiking
Gyarados 130 	Gyarados
Lapras 131 	Laplace
Ditto 132 	Metamon
Eevee 133 	Eievui
Vaporeon 134 	Showers
Jolteon 135 	Thunders
Flareon 136 	Booster
Porygon 137 	Porygon
Omanyte 138 	Omnite
Omastar 139 	Omstar
Kabuto 140 	Kabuto
Kabutops 141 	Kabutops
Aerodactyl 142 	Ptera
Snorlax 143 	Kabigon
Articuno 144 	Freezer
Zapdos 145 	Thunder
Moltres 146 	Fire
Dratini 147 	Miniryu
Dragonair 148 	Hakuryu
Dragonite 149 	Kairyu
Mewtwo 150 	Mewtwo
Mew 151 	Mew
Chikorita 152 	Chicorita
Bayleef 153 	Bayleaf
Meganium 154 	Meganium
Cyndaquil 155 	Hinoarashi
Quilava 156 	Magmarashi
Typhlosion 157 	Bakphoon
Totodile 158 	Waninoko
Croconaw 159 	Alligates
Feraligatr 160 	Ordile/Ordail
Sentret 161 	Otachi
Furret 162 	Ootachi
Hoothoot 163 	Hoho
Noctowl 164 	Yorunozuku
Ledyba 165 	Rediba
Ledian 166 	Redian
Spinarak 167 	Itomaru
Ariados 168 	Ariados
Crobat 169 	Crobat
Chinchou 170 	Chonchie
Lanturn 171 	Lantern
Pichu 172 	Pichu
Cleffa 173 	Py
Igglybuff 174 	Pupurin
Togepi 175 	Togepy
Togetic 176 	Togechick
Natu 177 	Naty
Xatu 178 	Natio
Mareep 179 	Merriep
Flaaffy 180 	Mokoko
Ampharos 181 	Denryu
Bellossom 182 	Kireihana
Marill 183 	Maril
Azumarill 184 	Marilli
Sudowoodo 185 	Usokkie
Politoed 186 	Nyorotono
Hoppip 187 	Hanecco
Skiploom 188 	Popocco
Jumpluff 189 	Watacco
Aipom 190 	Eipam
Sunkern 191 	Himanuts
Sunflora 192 	Kimawari
Yanma 193 	Yanyanma
Wooper 194 	Upah
Quagsire 195 	Nuoh
Espeon 196 	Eifie
Umbreon 197 	Blacky
Murkrow 198 	Yamikarasu
Slowking 199 	Yadoking
Misdreavus 200 	Muma
Unown 201 	Unknown
Wobbuffet 202 	Sonans
Girafarig 203 	Yamikarasu
Pineco 204 	Kunugidama
Forretress 205 	Foretos
Dunsparce 206 	Nokotchi
Gligar 207 	Gliger
Steelix 208 	Haganeil
Snubbull 209 	Bulu
Granbull 210 	Granbulu
Qwilfish 211 	Harysen
Scizor 212 	Hassam
Shuckle 213 	Tsubotsubo
Heracross 214 	Heracros
Sneasel 215 	Nyula
Teddiursa 216 	Himeguma
Ursaring 217 	Ringuma
Slugma 218 	Magmag
Magcargo 219 	Magcargot
Swinub 220 	Urimoo
Piloswine 221 	Inomoo
Corsola 222 	Sunnygo
Remoraid 223 	Teppouo
Octillery 224 	Okutank
Delibird 225 	Delibird
Mantine 226 	Mantain
Skarmory 227 	Airmd
Houndour 228 	Delvil
Houndoom 229 	Hellgar
Kingdra 230 	Kingdra
Phanpy 231 	Gomazou
Donphan 232 	Donfan
Porygon2 233 	Porygon 2/Polygon 2
Stantler 234 	Odoshishi
Smeargle 235 	Doble
Tyrogue 236 	Balkie
Hitmontop 237 	Kapoerer
Smoochum 238 	Muchul
Elekid 239 	Elekid
Magby 240 	Buby
Miltank 241 	Miltank
Blissey 242 	Happinas
Raikou 243 	Raikou
Entei 244 	Entei
Suicune 245 	Suicune/Suikun
Larvitar 246 	Yogiras
Pupitar 247 	Sanagiras
Tyranitar 248 	Bangiras
Lugia 249 	Lugia
Ho-Oh 250 	Houou
Celebi 251 	Celebi
Treecko 252 	Kimori
Grovyle 253 	Juptile
Sceptile 254 	Jukain
Torchic 255 	Achamo
Combusken 256 	Wakasyamo
Blaziken 257 	Bursyamo
Mudkip 258 	Mizugorou
Marshtomp 259 	Numacraw
Swampert 260 	Laglarge
Poochyena 261 	Pochiena
Mightyena 262 	Graena
Zigzagoon 263 	Jiguzaguma
Linoone 264 	Massuguma
Wurmple 265 	Kemusso
Silcoon 266 	Karasalis
Beautifly 267 	Agehunt
Cascoon 268 	Mayuld
Dustox 269 	Dokucale
Lotad 270 	Hassboh
Lombre 271 	Hasubrero
Ludicolo 272 	Runpappa
Seedot 273 	Taneboh
Nuzleaf 274 	Konohana
Shiftry 275 	Dirteng
Taillow 276 	Subame
Swellow 277 	Ohsubame
Wingull 278 	Camome
Pelipper 279 	Pelipper
Ralts 280 	Ralts
Kirlia 281 	Kirlia
Gardevoir 282 	Sirnight
Surskit 283 	Ametama
Masquerain 284 	Amemoth
Shroomish 285 	Kinococo
Breloom 286 	Kinogassa
Slakoth 287 	Namakero
Vigoroth 288 	Yarukimono
Slaking 289 	Kekking
Nincada 290 	Tutinin
Ninjask 291 	Tekkanin
Shedinja 292 	Nukenin
Whismur 293 	Gonyonyo
Loudred 294 	Dogohmb
Exploud 295 	Bakuong
Makuhita 296 	Makunoshita
Hariyama 297 	Hariteyama
Azurill 298 	Ruriri
Nosepass 299 	Nosepass
Skitty 300 	Eneco
Delcatty 301 	Enekororo
Sableye 302 	Yamirami
Mawile 303 	Kucheat
Aron 304 	Cokodora
Lairon 305 	Kodora
Aggron 306 	Bossgodora
Meditite 307 	Asanan
Medicham 308 	Charem
Electrike 309 	Rakurai
Manectric 310 	Livolt
Plusle 311 	Plusle/Prasle
Minun 312 	Minun
Volbeat 313 	Barubeat
Illumise 314 	Illumise
Roselia 315 	Roselia
Gulpin 316 	Gokulin
Swalot 317 	Marunoom
Carvanha 318 	Kibanha
Sharpedo 319 	Samehader
Wailmer 320 	Hoeruko
Wailord 321 	Whaloh
Numel 322 	Donmel
Camerupt 323 	Bakuuda
Torkoal 324 	Cotoise
Spoink 325 	Baneboo
Grumpig 326 	Boopig
Spinda 327 	Patcheel
Trapinch 328 	Nuckrar
Vibrava 329 	Vibrava
Flygon 330 	Flygon
Cacnea 331 	Sabonea
Cacturne 332 	Noctus
Swablu 333 	Tyltto
Altaria 334 	Tyltalis
Zangoose 335 	Zangoose
Seviper 336 	Habunake
Lunatone 337 	Lunatone
Solrock 338 	Solrock
Barboach 339 	Dojoach
Whiscash 340 	Namazun
Corphish 341 	Heigani
Crawdaunt 342 	Shizariger
Baltoy 343 	Yajilon
Claydol 344 	Nendoll
Lileep 345 	Lilyla
Cradily 346 	Yuradle
Anorith 347 	Anopth
Armaldo 348 	Armaldo
Feebas 349 	Hinbass
Milotic 350 	Milokaross
Castform 351 	Powalen
Kecleon 352 	Kakureon
Shuppet 353 	Kagebouzu
Banette 354 	Juppeta
Duskull 355 	Yomawaru
Dusclops 356 	Samayouru
Tropius 357 	Tropius
Chimecho 358 	Chirean
Absol 359 	Absol
Wynaut 360 	Sohnano
Snorunt 361 	Yukiwarashi
Glalie 362 	Onigohri
Spheal 363 	Tamazarashi
Sealeo 364 	Todoggler
Walrein 365 	Todoseruga
Clamperl 366 	Pearlulu
Huntail 367 	Huntail
Gorebyss 368 	Sakurabyss
Relicanth 369 	Glanth
Luvdisc 370 	Lovecus
Bagon 371 	Tatsubay
Shelgon 372 	Komoruu
Salamence 373 	Bohmander
Beldum 374 	Dumbber
Metang 375 	Metang
Metagross 376 	Metagross
Regirock 377 	Regirock
Regice 378 	Regice
Registeel 379 	Registeel
Latias 380 	Latias
Latios 381 	Latios
Kyogre 382 	Kaiorga/Kyogre
Groudon 383 	Groudon
Rayquaza 384 	Rayquaza
Jirachi 385 	Jirachi
Deoxys 386 	Deoxys
Turtwig 387 	Naetle
Grotle 388 	Hayashigame
Torterra 389 	Dodaitose
Chimchar 390 	Hikozaru
Monferno 391 	Moukazaru
Infernape 392 	Goukazaru
Piplup 393 	Pochama
Prinplup 394 	Pottaishi
Empoleon 395 	Emperte
Starly 396 	Mukkuru
Staravia 397 	Mukubird
Staraptor 398 	Mukuhawk
Bidoof 399 	Bipper
Bibarel 400 	Beadull
Kricketot 401 	Korobooshi
Kricketune 402 	Korotok
Shinx 403 	Kolink
Luxio 404 	Luxio
Luxray 405 	Rentorar
Budew 406 	Subomie
Roserade 407 	Roserade
Cranidos 408 	Zugaidos
Rampardos 409 	Rampald
Shieldon 410 	Tatetops
Bastiodon 411 	Torideps
Burmy 412 	Minomutchi
Wormadam 413 	Minomadam
Mothim 414 	Garmeil
Combee 415 	Mitsuhoney
Vespiquen 416 	Beequen
Pachirisu 417 	Pachirisu
Buizel 418 	Buoysel
Floatzel 419 	Flowsel
Cherubi 420 	Cherinbo
Cherrim 421 	Cherrim
Shellos 422 	Karanakushi
Gastrodon 423 	Toritodon
Ambipom 424 	Eteboth
Drifloon 425 	Fuwante
Drifblim 426 	Fuwaride
Buneary 427 	Mimirol
Lopunny 428 	Mimilop
Mismagius 429 	Mumargi
Honchkrow 430 	Dongkarasu
Glameow 431 	Nyarmar
Purugly 432 	Bunyat
Chingling 433 	Lisyan
Stunky 434 	Skunpoo
Skuntank 435 	Skutank
Bronzor 436 	Domirror
Bronzong 437 	Dohtakun
Bonsly 438 	Usohachi
Mime Jr. 439 	Manene
Happiny 440 	Pinpuku
Chatot 441 	Perap
Spiritomb 442 	Mikaruge
Gible 443 	Fukamaru
Gabite 444 	Gabite
Garchomp 445 	Gaburias
Munchlax 446 	Gonbe
Riolu 447 	Riolu
Lucario 448 	Lucario
Hippopotas 449 	Hippopotas
